date,username,name,text,content,reply,retweet,like
2022-04-21T18:56:34.000Z,@elonmusk,Elon Musk,And authenticate all real humans,,18816 Replies. Reply,34345 Retweets. Retweet,464757 Likes. Like
2022-04-21T18:53:55.000Z,@elonmusk,Elon Musk,"If our twitter bid succeeds, we will defeat the spam bots or die trying!",,35160 Replies. Reply,92081 Retweets. Retweet,900546 Likes. Like
2022-04-21T18:50:52.000Z,@elonmusk,Elon Musk,"Such a joy to work with amazingly talented people at SpaceX, Tesla, Neuralink & Boring Co!",,10173 Replies. Reply,15601 Retweets. Retweet,293004 Likes. Like
2022-04-21T18:01:33.000Z,@SpaceX,SpaceX,"Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s 12th launch and landing",,1946 Replies. Reply,5757 Retweets. Retweet,66584 Likes. Like
2022-04-21T17:44:09.000Z,@SpaceX,SpaceX,Watch Falcon 9 launch 53 Starlink satellites to orbit → http://spacex.com/launches/sl4-14/…,https://twitter.com/i/broadcasts/1LyGBoreADoJN,1167 Replies. Reply,3133 Retweets. Retweet,26532 Likes. Like
2022-04-21T03:09:12.000Z,@elonmusk,Elon Musk,"Please consider working at The Boring Company! 

Our goal is to solve traffic, which plagues every major city on Earth.",,19531 Replies. Reply,16444 Retweets. Retweet,174143 Likes. Like
2022-04-20T03:32:19.000Z,@elonmusk,Elon Musk,_______ is the Night,,66748 Replies. Reply,23948 Retweets. Retweet,290221 Likes. Like
2022-04-19T18:25:05.000Z,@elonmusk,Elon Musk,A social media platform’s policies are good if the most extreme 10% on left and right are equally unhappy,,29094 Replies. Reply,50379 Retweets. Retweet,510220 Likes. Like
2022-04-18T21:32:12.000Z,@elonmusk,Elon Musk,SpaceX Falcon team making great progress! Aiming for 5 day launch cadence with many performance & refurb improvements.,,12461 Replies. Reply,13637 Retweets. Retweet,208156 Likes. Like
2022-04-18T14:15:38.000Z,@elonmusk,Elon Musk,"Why, thank you, sir!",https://t.co/tealJWLSdP,11907 Replies. Reply,15124 Retweets. Retweet,171037 Likes. Like
2022-04-08T16:58:08.000Z,@SpaceX,SpaceX,"Falcon 9 launches the first all-private human spaceflight mission to the 
@space_station",,1243 Replies. Reply,4070 Retweets. Retweet,30865 Likes. Like
2022-04-08T15:35:45.000Z,@SpaceX,SpaceX,Ax-1 on orbit,,1247 Replies. Reply,2938 Retweets. Retweet,29394 Likes. Like
2022-04-08T15:18:35.000Z,@NASA,NASA,"This takes commerce to a whole new level. 
@Axiom_Space
's #Ax1 mission is on its way to the 
@Space_Station
 in 
@SpaceX
's Dragon Endeavour—a key step in our ongoing work to open opportunities for space travelers in low-Earth orbit.",,1899 Replies. Reply,3776 Retweets. Retweet,28659 Likes. Like
2022-04-08T10:50:44.000Z,@elonmusk,Elon Musk,"Great work by Tesla Texas Team!!

Built & delivered first Giga Texas production cars & threw a killer opening party  ",,9843 Replies. Reply,11953 Retweets. Retweet,202525 Likes. Like
2022-04-08T01:43:01.000Z,@elonmusk,Elon Musk,Show starts in ~20 mins,,7288 Replies. Reply,5110 Retweets. Retweet,63548 Likes. Like
2022-04-07T13:50:20.000Z,@SpaceX,SpaceX,"All systems are looking good for tomorrow’s Falcon 9 launch of the 
@Axiom_Space
 Ax-1 mission to the 
@space_station
; teams are keeping an eye on downrange weather along the ascent corridor. Webcast will go live at ~7:55 a.m. ET → http://spacex.com/launches/ax-1/",https://twitter.com/SpaceX/status/1512065240116072466/photo/1,2522 Replies. Reply,3518 Retweets. Retweet,33608 Likes. Like
2022-04-07T08:22:22.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1511982702819520512/photo/1,34202 Replies. Reply,127775 Retweets. Retweet,1164835 Likes. Like
2022-04-07T08:20:08.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1511982141965586434/photo/1,9893 Replies. Reply,23136 Retweets. Retweet,338233 Likes. Like
2022-04-07T06:17:19.000Z,@elonmusk,Elon Musk,,,3482 Replies. Reply,5679 Retweets. Retweet,79432 Likes. Like
2022-04-07T06:16:04.000Z,@elonmusk,Elon Musk,Preparing …,https://twitter.com/elonmusk/status/1511950918366814211/photo/1,3093 Replies. Reply,4638 Retweets. Retweet,72623 Likes. Like
2022-04-07T06:14:07.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1511950430539902976/photo/1,5266 Replies. Reply,9189 Retweets. Retweet,127860 Likes. Like
2022-04-01T14:01:08.000Z,@NetflixFilm,NetflixFilm,"RETURN TO SPACE
(On Netflix April 7)
Elon Musk and SpaceX engineers embark on a historic mission to return NASA astronauts to the International Space Station and revolutionize space travel.",https://twitter.com/NetflixFilm/status/1509893628134633489/photo/1,1518 Replies. Reply,3625 Retweets. Retweet,33532 Likes. Like
2022-03-28T09:29:09.000Z,@elonmusk,Elon Musk,We’ve all been there,,4625 Replies. Reply,3581 Retweets. Retweet,115508 Likes. Like
2022-03-28T08:56:42.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1508367467269136387/photo/1,10699 Replies. Reply,28885 Retweets. Retweet,385660 Likes. Like
2022-03-28T08:12:34.000Z,@elonmusk,Elon Musk,"Covid-19 is the virus of Theseus.

How many gene changes before it’s not Covid-19 anymore?

I supposedly have it again (sigh), but almost no symptoms.",,12751 Replies. Reply,14258 Retweets. Retweet,169465 Likes. Like
2022-03-27T16:00:51.000Z,@elonmusk,Elon Musk,Seize the memes of production!,,28602 Replies. Reply,25899 Retweets. Retweet,252765 Likes. Like
2022-03-26T17:54:02.000Z,@elonmusk,Elon Musk,Is a new platform needed?,,52361 Replies. Reply,34762 Retweets. Retweet,340353 Likes. Like
2022-03-26T17:51:26.000Z,@elonmusk,Elon Musk,"Given that Twitter serves as the de facto public town square, failing to adhere to free speech principles fundamentally undermines democracy. 

What should be done?",,32861 Replies. Reply,40137 Retweets. Retweet,262700 Likes. Like
2022-03-26T05:53:24.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1507596559831101446/photo/1,10061 Replies. Reply,13593 Retweets. Retweet,167257 Likes. Like
2022-03-25T16:06:11.000Z,@SpaceX,SpaceX,"NASA has ordered six additional 
@space_station
 resupply missions from SpaceX! Dragon will continue to deliver critical cargo and supplies to and from the orbiting lab through 2026 → http://nasa.gov/feature/nasa-orders-additional-cargo-flights-to-space-station…",https://twitter.com/SpaceX/status/1507388386297876481/photo/1,2896 Replies. Reply,4033 Retweets. Retweet,36735 Likes. Like
2022-03-25T08:26:45.000Z,@elonmusk,Elon Musk,The consequences of this poll will be important. Please vote carefully.,,11429 Replies. Reply,12788 Retweets. Retweet,163772 Likes. Like
2022-03-25T07:34:52.000Z,@elonmusk,Elon Musk,"Free speech is essential to a functioning democracy.

Do you believe Twitter rigorously adheres to this principle?",,37603 Replies. Reply,55054 Retweets. Retweet,190753 Likes. Like
2022-03-25T01:15:13.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1507164164208402435/photo/1,2712 Replies. Reply,5295 Retweets. Retweet,59249 Likes. Like
2022-03-25T01:06:48.000Z,@elonmusk,Elon Musk,"Old, but good",https://twitter.com/elonmusk/status/1507162047171153925/photo/1,5135 Replies. Reply,14635 Retweets. Retweet,200337 Likes. Like
2022-03-24T23:55:26.000Z,@elonmusk,Elon Musk,Most people think the fruit was named after the color (fools!) http://etymology.com,,6053 Replies. Reply,3899 Retweets. Retweet,57400 Likes. Like
2022-03-24T23:53:23.000Z,@elonmusk,Elon Musk,The movie Gaslight has gaslit so many people it’s insane,,5526 Replies. Reply,7281 Retweets. Retweet,114620 Likes. Like
2022-03-24T20:26:49.000Z,@elonmusk,Elon Musk, NASA ,https://twitter.com/NASA/status/1506715553217622030/photo/1,4935 Replies. Reply,6925 Retweets. Retweet,88473 Likes. Like
2022-03-24T17:07:22.000Z,@elonmusk,Elon Musk,Twitter algorithm should be open source,,11587 Replies. Reply,13042 Retweets. Retweet,71882 Likes. Like
2022-03-22T13:30:39.000Z,@elonmusk,Elon Musk, Danke Deutschland!! ,,17263 Replies. Reply,16870 Retweets. Retweet,282257 Likes. Like
2022-03-21T18:38:32.000Z,@elonmusk,Elon Musk,Excited to hand over the first production cars made by Giga Berlin-Brandenburg tomorrow!,,11441 Replies. Reply,13031 Retweets. Retweet,214022 Likes. Like
2022-03-19T08:35:46.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1505100708256825347/photo/1,26845 Replies. Reply,75058 Retweets. Retweet,805259 Likes. Like
2022-03-09T14:01:23.000Z,@elonmusk,Elon Musk,Another 48 Starlinks just reached orbit,,12915 Replies. Reply,14622 Retweets. Retweet,161650 Likes. Like
2022-03-09T06:47:17.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1501449525831081987/photo/1,37482 Replies. Reply,96265 Retweets. Retweet,659949 Likes. Like
2022-03-07T07:49:42.000Z,@elonmusk,Elon Musk,"You are my favorite hello,
And my hardest goodbye.",,24383 Replies. Reply,55252 Retweets. Retweet,368543 Likes. Like
2022-03-06T23:57:02.000Z,@elonmusk,Elon Musk,Also nuclear is vastly better for global warming than burning hydrocarbons for energy,,5427 Replies. Reply,14897 Retweets. Retweet,177718 Likes. Like
2022-03-06T23:33:20.000Z,@elonmusk,Elon Musk,"Replying to 
@elonmusk",,6057 Replies. Reply,18773 Retweets. Retweet,187466 Likes. Like
2022-03-06T23:27:00.000Z,@elonmusk,Elon Musk,"Hopefully, it is now extremely obvious that Europe should restart dormant nuclear power stations and increase power output of existing ones. 

This is *critical* to national and international security.",,9502 Replies. Reply,48640 Retweets. Retweet,324300 Likes. Like
2022-03-06T14:18:02.000Z,@elonmusk,Elon Musk,"Self-driving car will amplify traffic to insane levels, as you won’t feel the pain of driving yourself",,6044 Replies. Reply,5929 Retweets. Retweet,97721 Likes. Like
2022-03-06T14:06:26.000Z,@elonmusk,Elon Musk,Defeating traffic is the ultimate boss battle. Even the most powerful humans in the world cannot defeat traffic.,,16030 Replies. Reply,18671 Retweets. Retweet,193715 Likes. Like
2022-03-06T08:22:41.000Z,@Tesla,Tesla,"Giga Berlin darf eröffnen  

Come join the team!",https://t.co/OdNeEGt5eB,3772 Replies. Reply,3547 Retweets. Retweet,35097 Likes. Like
2022-03-06T04:38:57.000Z,@elonmusk,Elon Musk,Even some of the best AI software engineers in the world don’t realize how advanced Tesla AI has become,,13243 Replies. Reply,19740 Retweets. Retweet,258552 Likes. Like
2022-03-06T03:45:50.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1500316700922757123/photo/1,10992 Replies. Reply,33887 Retweets. Retweet,368164 Likes. Like
2022-03-05T05:15:51.000Z,@elonmusk,Elon Musk,"Starlink has been told by some governments (not Ukraine) to block Russian news sources. We will not do so unless at gunpoint.

Sorry to be a free speech absolutist.",,28998 Replies. Reply,89031 Retweets. Retweet,557360 Likes. Like
2022-03-05T04:59:24.000Z,@elonmusk,Elon Musk,"SpaceX reprioritized to cyber defense & overcoming signal jamming. 

Will cause slight delays in Starship & Starlink V2.",,5023 Replies. Reply,13530 Retweets. Retweet,153556 Likes. Like
2022-03-05T01:22:00.000Z,@elonmusk,Elon Musk,"And also my sympathies to the great people of Russia, who do not want this",,5825 Replies. Reply,19337 Retweets. Retweet,337916 Likes. Like
2022-03-05T01:21:07.000Z,@elonmusk,Elon Musk, Hold Strong Ukraine ,,14015 Replies. Reply,57849 Retweets. Retweet,560670 Likes. Like
2022-03-05T00:48:59.000Z,@elonmusk,Elon Musk,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil & gas exports.",,5887 Replies. Reply,23172 Retweets. Retweet,210242 Likes. Like
2022-03-05T00:40:01.000Z,@elonmusk,Elon Musk,"Hate to say it, but we need to increase oil & gas output immediately. 

Extraordinary times demand extraordinary measures.",,22346 Replies. Reply,94967 Retweets. Retweet,486342 Likes. Like
2022-03-03T19:49:51.000Z,@elonmusk,Elon Musk,"Important warning: Starlink is the only non-Russian communications system still working in some parts of Ukraine, so probability of being targeted is high. Please use with caution.",,9803 Replies. Reply,44214 Retweets. Retweet,372694 Likes. Like
2022-03-03T18:04:40.000Z,@SpaceX,SpaceX,This was our 9th Falcon 9 launch in the first 9 weeks of 2022,https://twitter.com/SpaceX/status/1499445667088912404/photo/1,4321 Replies. Reply,7563 Retweets. Retweet,77695 Likes. Like
2022-03-03T15:45:58.000Z,@SpaceX,SpaceX,Deployment of 47 Starlink satellites confirmed,,2020 Replies. Reply,3882 Retweets. Retweet,50964 Likes. Like
2022-03-03T14:14:27.000Z,@SpaceX,SpaceX,Watch Falcon 9 launch 47 Starlink satellites to orbit → http://spacex.com/launches,https://twitter.com/i/broadcasts/1OdKrBemYOlKX,1583 Replies. Reply,4558 Retweets. Retweet,37272 Likes. Like
2022-02-17T19:41:04.000Z,@Tesla,Tesla,You can now customize how your Tesla appears on the screen and app with the Car Colorizer,,5553 Replies. Reply,8687 Retweets. Retweet,59558 Likes. Like
2022-02-15T02:31:48.000Z,@elonmusk,Elon Musk,This will be real in our lifetime,,6541 Replies. Reply,4383 Retweets. Retweet,62056 Likes. Like
2022-02-15T02:27:54.000Z,@elonmusk,Elon Musk,Starship to Mars simulation,,8540 Replies. Reply,8990 Retweets. Retweet,72622 Likes. Like
2022-02-14T22:54:37.000Z,@elonmusk,Elon Musk,Over 250k Starlink user terminals,,9296 Replies. Reply,8350 Retweets. Retweet,133681 Likes. Like
2022-02-14T19:44:02.000Z,@elonmusk,Elon Musk,Destacking Starship,,6056 Replies. Reply,7779 Retweets. Retweet,79571 Likes. Like
2022-02-14T14:26:13.000Z,@rookisaacman,Jared Isaacman,"Exciting time in commercial spaceflight. Polaris Program will undertake a series of tech demo  missions culminating in first flight of Starship. Thankful to team 
@SpaceX
, Polaris Directors & my amazing crew 
@KiddPoteet
 @gillis_sarahe
, Anna Menon
Support for 
@StJude
 never ends",https://twitter.com/PolarisProgram/status/1493210924047486976/photo/1,1750 Replies. Reply,1815 Retweets. Retweet,15363 Likes. Like
2022-02-11T20:01:33.000Z,@elonmusk,Elon Musk,"The duty of a leader is to serve their people, not for the people to serve them",,33849 Replies. Reply,119589 Retweets. Retweet,609653 Likes. Like
2022-02-11T02:41:29.000Z,@SpaceX,SpaceX,A fully and rapidly reusable launch vehicle is key to a future in which humanity is out exploring the stars,,3208 Replies. Reply,3764 Retweets. Retweet,26034 Likes. Like
2022-02-11T02:38:49.000Z,@SpaceX,SpaceX,"Raptor 2 generates more than 230 tons of thrust at sea level, up from Raptor 1’s 185 tons",,3696 Replies. Reply,12629 Retweets. Retweet,100451 Likes. Like
2022-02-11T02:37:06.000Z,@SpaceX,SpaceX,The launch tower at Starbase will help stack Starship and catch the Super Heavy rocket booster,,2230 Replies. Reply,4860 Retweets. Retweet,35371 Likes. Like
2022-02-11T01:55:42.000Z,@SpaceX,SpaceX,Watch live as Elon provides an update on the development of Starship → http://spacex.com,https://twitter.com/i/broadcasts/1OwxWzqmpeZJQ,2089 Replies. Reply,4919 Retweets. Retweet,22484 Likes. Like
2022-02-10T16:51:44.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1491817170258563080/photo/1,15402 Replies. Reply,24841 Retweets. Retweet,291267 Likes. Like
2022-02-10T05:04:48.000Z,@elonmusk,Elon Musk,,,6000 Replies. Reply,8721 Retweets. Retweet,80990 Likes. Like
2022-02-10T04:53:52.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1491636510642167809/photo/1,8277 Replies. Reply,18212 Retweets. Retweet,251122 Likes. Like
2022-01-30T18:52:01.000Z,@elonmusk,Elon Musk,So many Hitlers!,https://twitter.com/elonmusk/status/1487861173626101760/photo/1,14714 Replies. Reply,34025 Retweets. Retweet,255359 Likes. Like
2022-01-30T17:38:35.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1487842692704862214/photo/1,17626 Replies. Reply,40488 Retweets. Retweet,320910 Likes. Like
2022-01-30T08:26:30.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1487703756112154628/photo/1,10414 Replies. Reply,38430 Retweets. Retweet,397944 Likes. Like
2022-01-29T23:39:10.000Z,@elonmusk,Elon Musk,Just rewatched True Romance ,,11411 Replies. Reply,7699 Retweets. Retweet,112528 Likes. Like
2022-01-29T11:21:38.000Z,@elonmusk,Elon Musk,Lie back and think of Mars,,24526 Replies. Reply,19082 Retweets. Retweet,205496 Likes. Like
2022-01-29T06:48:49.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1487316787385581570/photo/1,11133 Replies. Reply,26537 Retweets. Retweet,220619 Likes. Like
2022-01-29T05:25:18.000Z,@elonmusk,Elon Musk,The Universe is a Hydrogen Sonata,,9773 Replies. Reply,9838 Retweets. Retweet,125680 Likes. Like
2022-01-28T17:44:30.000Z,@elonmusk,Elon Musk,"Disney in the streets,
Euphoria in the sheets",https://t.co/BPf9Bh23mv,7809 Replies. Reply,5542 Retweets. Retweet,46685 Likes. Like
2022-01-27T23:56:10.000Z,@elonmusk,Elon Musk,And in the darkness bind them,https://twitter.com/itsALLrisky/status/1486848111586672641/photo/1,8100 Replies. Reply,36600 Retweets. Retweet,202665 Likes. Like
2022-01-27T23:39:57.000Z,@elonmusk,Elon Musk,"If you scare people enough, they will demand removal of freedom. This is the path to tyranny.",,27117 Replies. Reply,136069 Retweets. Retweet,560363 Likes. Like
2022-01-27T22:24:24.000Z,@elonmusk,Elon Musk,Seems odd that the UN still hasn’t released 2020 world death rates,,9455 Replies. Reply,37152 Retweets. Retweet,271512 Likes. Like
2022-01-27T21:00:09.000Z,@elonmusk,Elon Musk,CB radios are free from govt/media control,,3525 Replies. Reply,13122 Retweets. Retweet,117970 Likes. Like
2022-01-27T18:45:22.000Z,@elonmusk,Elon Musk,Canadian truckers rule,,20751 Replies. Reply,84816 Retweets. Retweet,435796 Likes. Like
2022-01-27T17:31:57.000Z,@elonmusk,Elon Musk,Je m’aple syrup,,13557 Replies. Reply,14031 Retweets. Retweet,160882 Likes. Like
2022-01-26T01:07:59.000Z,@elonmusk,Elon Musk,Been driving latest Cybertruck prototype around Giga Texas. It’s awesome!,,16440 Replies. Reply,14793 Retweets. Retweet,226729 Likes. Like
2022-01-25T12:39:40.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1485955529813987330/photo/1,11452 Replies. Reply,89610 Retweets. Retweet,494733 Likes. Like
2022-01-25T12:30:40.000Z,@elonmusk,Elon Musk,"I will eat a happy meal on tv if 
@McDonalds
 accepts Dogecoin",,30588 Replies. Reply,66773 Retweets. Retweet,419191 Likes. Like
2022-01-25T10:48:55.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1485927658294845442/photo/1,13886 Replies. Reply,97796 Retweets. Retweet,389899 Likes. Like
2022-01-16T06:19:15.000Z,@elonmusk,Elon Musk,So informative,https://twitter.com/elonmusk/status/1482598301694238723/photo/1,16216 Replies. Reply,20832 Retweets. Retweet,246268 Likes. Like
2022-01-15T23:30:10.000Z,@elonmusk,Elon Musk,,,11829 Replies. Reply,26925 Retweets. Retweet,199924 Likes. Like
2022-01-15T18:50:33.000Z,@elonmusk,Elon Musk,"1469 Starlink satellites active
272 moving to operational orbits
Laser links activate soon",,11814 Replies. Reply,12617 Retweets. Retweet,144216 Likes. Like
2022-01-15T07:09:37.000Z,@elonmusk,Elon Musk,,,26048 Replies. Reply,19878 Retweets. Retweet,192690 Likes. Like
2022-01-14T06:18:50.000Z,@elonmusk,Elon Musk,Tesla merch buyable with Dogecoin,,38352 Replies. Reply,58553 Retweets. Retweet,330564 Likes. Like
2022-01-13T18:46:38.000Z,@SpaceX,SpaceX,Falcon 9 launches 105 spacecraft to orbit and lands at Landing Zone 1,https://twitter.com/SpaceX/status/1481699225675067395/photo/1,2254 Replies. Reply,3734 Retweets. Retweet,38012 Likes. Like
2022-01-13T15:35:09.000Z,@SpaceX,SpaceX,Falcon 9’s first stage has landed on Landing Zone 1,,4427 Replies. Reply,9324 Retweets. Retweet,67028 Likes. Like
2022-01-12T04:10:25.000Z,@elonmusk,Elon Musk,Bizarre anti-environment move by govt of California,,9632 Replies. Reply,10035 Retweets. Retweet,69696 Likes. Like
2022-01-10T15:51:20.000Z,@Tesla,Tesla,"Drive anywhere in the US using the Supercharger network, now in all 50 states",https://twitter.com/Tesla/status/1480567947525595137/photo/1,6607 Replies. Reply,7438 Retweets. Retweet,50572 Likes. Like
2022-01-09T23:53:14.000Z,@elonmusk,Elon Musk,Starship launch & catch tower,,13396 Replies. Reply,16177 Retweets. Retweet,127321 Likes. Like
2022-01-09T08:25:44.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1480093419334782981/photo/1,20319 Replies. Reply,31263 Retweets. Retweet,290160 Likes. Like
2022-01-07T23:28:12.000Z,@elonmusk,Elon Musk,FSD price will rise as we get closer to FSD production code release,,2987 Replies. Reply,1648 Retweets. Retweet,29151 Likes. Like
2022-01-07T23:26:23.000Z,@elonmusk,Elon Musk,Just in the US,,2620 Replies. Reply,1537 Retweets. Retweet,29010 Likes. Like
2022-01-07T23:09:17.000Z,@elonmusk,Elon Musk,Tesla FSD price rising to $12k on Jan 17,,12400 Replies. Reply,7363 Retweets. Retweet,75446 Likes. Like
2022-01-06T23:39:59.000Z,@elonmusk,Elon Musk,Starlinks with “lasers” deployed to orbit,https://twitter.com/elonmusk/status/1479236333516165121/photo/1,13114 Replies. Reply,11988 Retweets. Retweet,288453 Likes. Like
2022-01-06T21:36:56.000Z,@SpaceX,SpaceX,Watch Falcon 9 launch 49 Starlink satellites to orbit → http://spacex.com/launches,https://twitter.com/i/broadcasts/1ZkJzboLBjqJv,2620 Replies. Reply,4322 Retweets. Retweet,26594 Likes. Like
2022-01-06T06:51:11.000Z,@elonmusk,Elon Musk,nice,,37537 Replies. Reply,23909 Retweets. Retweet,278633 Likes. Like
2022-01-04T17:33:23.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1478419298032836610/photo/1,26902 Replies. Reply,40536 Retweets. Retweet,410297 Likes. Like
